Actor,Achiever,Group,Course,Time,Action
1,High,1,A,2025-01-01 10:27:07.712698,cohesion
1,High,1,A,2025-01-01 10:35:20.712698,consensus
1,High,1,A,2025-01-01 10:42:18.712698,discuss
1,High,1,A,2025-01-01 10:50:00.712698,synthesis
1,High,1,A,2025-01-01 10:52:25.712698,adapt
1,High,1,A,2025-01-01 10:57:31.712698,consensus
1,High,1,A,2025-01-01 10:58:04.712698,plan
1,High,1,A,2025-01-01 11:05:00.712698,consensus
2,High,1,A,2025-01-01 10:27:33.712698,plan
2,High,1,A,2025-01-01 10:33:45.712698,emotion
2,High,1,A,2025-01-01 10:39:04.712698,consensus
2,High,1,A,2025-01-01 10:39:54.712698,discuss
2,High,1,A,2025-01-01 10:43:22.712698,synthesis
2,High,1,A,2025-01-01 10:43:36.712698,adapt
2,High,1,A,2025-01-01 10:49:03.712698,emotion
3,High,1,A,2025-01-01 10:24:45.712698,consensus
3,High,1,A,2025-01-01 10:25:57.712698,coregulate
3,High,1,A,2025-01-01 10:29:30.712698,monitor
3,High,1,A,2025-01-01 10:34:02.712698,consensus
3,High,1,A,2025-01-01 10:36:11.712698,plan
3,High,1,A,2025-01-01 10:43:47.712698,emotion
3,High,1,A,2025-01-01 10:45:00.712698,consensus
3,High,1,A,2025-01-01 10:50:10.712698,monitor
3,High,1,A,2025-01-01 10:52:47.712698,consensus
3,High,1,A,2025-01-01 10:59:56.712698,coregulate
3,High,1,A,2025-01-01 11:01:11.712698,emotion
3,High,1,A,2025-01-01 11:05:22.712698,cohesion
3,High,1,A,2025-01-01 11:07:20.712698,cohesion
3,High,1,A,2025-01-01 11:13:05.712698,consensus
3,High,1,A,2025-01-01 11:15:52.712698,plan
3,High,1,A,2025-01-01 11:16:53.712698,emotion
3,High,1,A,2025-01-01 11:18:31.712698,plan
3,High,1,A,2025-01-01 11:24:37.712698,plan
3,High,1,A,2025-01-01 11:28:56.712698,consensus
3,High,1,A,2025-01-01 11:30:59.712698,monitor
3,High,1,A,2025-01-01 11:32:31.712698,consensus
3,High,1,A,2025-01-01 11:39:23.712698,plan
3,High,1,A,2025-01-01 11:43:42.712698,emotion
3,High,1,A,2025-01-01 11:45:44.712698,plan
3,High,1,A,2025-01-01 11:50:44.712698,consensus
3,High,1,A,2025-01-01 11:58:30.712698,discuss
4,High,1,A,2025-01-01 10:22:07.712698,monitor
4,High,1,A,2025-01-01 10:22:41.712698,emotion
4,High,1,A,2025-01-01 10:29:53.712698,plan
4,High,1,A,2025-01-01 10:35:38.712698,discuss
4,High,1,A,2025-01-01 10:41:51.712698,synthesis
4,High,1,A,2025-01-01 10:49:06.712698,consensus
4,High,1,A,2025-01-01 10:52:27.712698,discuss
4,High,1,A,2025-01-01 10:57:51.712698,cohesion
4,High,1,A,2025-01-01 11:01:09.712698,consensus
4,High,1,A,2025-01-01 11:03:59.712698,plan
4,High,1,A,2025-01-01 11:04:42.712698,plan
4,High,1,A,2025-01-01 11:07:09.712698,emotion
5,High,1,A,2025-01-01 10:22:50.712698,discuss
5,High,1,A,2025-01-01 10:25:00.712698,emotion
5,High,1,A,2025-01-01 10:28:19.712698,cohesion
6,High,1,A,2025-01-01 10:22:25.712698,plan
